,start,end
0,69.26,72.09
1,77.96,80.73
2,82.15,89.45
3,138.57,140.0
4,141.09,142.7
5,150.63,152.39
6,199.44,201.16
7,216.4,218.11
8,226.93,230.65
9,258.93,261.61
10,264.72,267.02
11,268.34,269.96
12,270.57,272.13
13,273.59,275.99
14,289.0,290.8
15,304.65,306.72
16,310.09,311.35
17,318.14,319.24
18,321.82,323.05
19,349.05,350.18
20,386.14,387.68
21,417.17,418.27
22,427.16,428.77
23,443.97,446.34
24,446.94,448.2
25,463.96,465.2
26,467.93,469.79
27,475.19,476.78
28,487.59,491.97
29,524.42,525.43
30,558.6,559.89
31,580.3,581.59
32,605.31,606.7
33,607.64,609.17
34,613.77,619.4
35,622.63,624.59
